Header,CCA1,CCA2
2100761_9,1,0
2169593_132,1,0
2184738_117,1,0
2184738_128,1,0
2184738_138,1,0
2184738_154,1,0
2184738_156,1,0
2184738_161,1,0
2184738_165,1,0
2184738_171,1,0
2184738_195,1,0
2184738_19,1,0
2184738_215,1,0
2184738_25,1,0
2184738_26,1,0
2184738_27,1,0
2184738_36,1,0
2184738_3,1,0
2184738_43,1,0
2184738_59,1,0
2184738_68,1,0
2184738_73,1,0
2184738_82,1,0
2184738_88,1,0
2184738_96,1,0
2200882_3,1,0
2200885_3,1,0
2200889_3,1,0
2200890_3,1,0
2202732_11,1,0
2202732_22,1,0
2202732_26,1,0
2202732_27,1,0
2202732_28,1,0
2202732_59,1,0
2202732_63,1,0
2202732_82,1,0
2202732_87,1,0
2202732_8,1,0
2202732_9,1,0
2250257_11,1,0
2250257_23,1,0
2250257_32,1,0
2250277_15,1,0
2250277_18,1,0
2250277_26,1,0
2250277_28,1,0
2250277_35,1,0
2250277_42,1,0
2250277_45,1,0
2250277_5,1,0
2250277_62,1,0
2250277_75,1,0
2250277_81,1,0
2250277_84,1,0
2259673_3,1,0
2268139_5,1,0
2268142_117,1,0
2268142_39,1,0
2268142_3,1,0
2268142_7,1,0
2268142_97,1,0
2268187_13,1,0
2268187_27,1,0
2268187_6,1,0
2268198_117,1,0
2268198_68,1,0
2268198_7,1,0
2268200_106,1,0
2268200_113,1,0
2268200_118,1,0
2268200_128,1,0
2268200_142,1,0
2268200_158,1,0
2268200_168,1,0
2268200_17,1,0
2268200_19,1,0
2268200_31,1,0
2268200_32,1,0
2268200_33,1,0
2268200_37,1,0
2268200_43,1,0
2268200_4,1,0
2268200_8,1,0
2268203_12,1,0
2268203_14,1,0
2268203_81,1,0
2268203_88,1,0
2268203_89,1,0
2268205_19,1,0
2269_8,1,0
2282146_4,1,0
2282146_7,1,0
2283_11,1,0
2285_62,1,0
2285_6,1,0
2286_3,1,0
2286_4,1,0
2286_5,1,0
2287_17,1,0
2287_27,1,0
2303494_22,1,0
2303494_39,1,0
2309_8,1,0
2341021_3,1,0
2480821_101,1,0
2480821_105,1,0
2480821_107,1,0
2480821_109,1,0
2480821_113,1,0
2480821_116,1,0
2480821_119,1,0
2480821_11,1,0
2480821_121,1,0
2480821_127,1,0
2480821_131,1,0
2480821_132,1,0
2480821_13,1,0
2480821_145,1,0
2480821_151,1,0
2480821_155,1,0
2480821_158,1,0
2480821_168,1,0
2480821_171,1,0
2480821_177,1,0
2480821_179,1,0
2480821_193,1,0
2480821_196,1,0
2480821_206,1,0
2480821_208,1,0
2480821_21,1,0
2480821_221,1,0
2480821_222,1,0
2480821_224,1,0
2480821_45,1,0
2480821_46,1,0
2480821_4,1,0
2480821_51,1,0
2480821_66,1,0
2480821_68,1,0
2480821_73,1,0
2480821_75,1,0
2480821_77,1,0
2480821_99,1,0
2495426_3,1,0
2495426_8,1,0
2507556_7,1,0
2508726_3,1,0
2511932_17,1,0
2511932_18,1,0
2511932_19,1,0
2511932_23,1,0
2511932_5,1,0
2512240_3,1,0
2528704_27,1,0
2528704_29,1,0
2528704_42,1,0
2528704_43,1,0
2528704_46,1,0
2528704_54,1,0
2528704_56,1,0
2528704_57,1,0
2528704_6,1,0
2571048_5,1,0
2571048_8,1,0
2586967_4,1,0
2614262_4,1,0
2614265_6,1,0
2663019_3,1,0
2735514_11,1,0
2735514_3,1,0
2735514_4,1,0
2735514_5,1,0
2735514_6,1,0
274044_3,1,0
2758716_3,1,0
2775498_5,1,0
2811097_3,1,0
2819534_4,1,0
2820299_3,1,0
2820299_4,1,0
2820299_5,1,0
2820299_6,1,0
2823152_3,1,0
2824673_3,1,0
2831942_12,1,0
2831942_17,1,0
2831942_26,1,0
2831942_5,1,0
2831942_6,1,0
2831947_12,1,0
2831947_14,1,0
2831947_15,1,0
2831947_16,1,0
2831947_18,1,0
2831947_27,1,0
2831947_28,1,0
2831947_5,1,0
2831947_8,1,0
2831947_9,1,0
2852089_11,1,0
2852089_4,1,0
2852089_5,1,0
2852089_6,1,0
2852089_9,1,0
2874626_4,1,0
2874626_5,1,0
2886040_5,1,0
2928967_4,1,0
2928969_4,1,0
2933264_102,1,0
2933264_103,1,0
2933264_104,1,0
2933264_106,1,0
2933264_107,1,0
2933264_108,1,0
2933264_112,1,0
2933264_114,1,0
2933264_115,1,0
2933264_116,1,0
2933264_117,1,0
2933264_118,1,0
2933264_125,1,0
2933264_126,1,0
2933264_129,1,0
2933264_131,1,0
2933264_132,1,0
2933264_133,1,0
2933264_136,1,0
2933264_138,1,0
2933264_142,1,0
2933264_143,1,0
2933264_145,1,0
2933264_146,1,0
2933264_147,1,0
2933264_148,1,0
2933264_149,1,0
2933264_31,1,0
2933264_53,1,0
2933264_59,1,0
2933264_5,1,0
2933264_74,1,0
2933264_7,1,0
2933264_93,1,0
2933264_97,1,0
2952944_23,1,0
2952944_27,1,0
2952944_28,1,0
2952944_31,1,0
2952944_34,1,0
2952944_37,1,0
2952944_39,1,0
2952944_5,1,0
2967306_7,1,0
3014063_5,1,0
3045160_108,1,0
3045160_109,1,0
3045160_112,1,0
3045160_119,1,0
3045160_11,1,0
3045160_123,1,0
3045160_129,1,0
3045160_12,1,0
3045160_131,1,0
3045160_133,1,0
3045160_137,1,0
3045160_141,1,0
3045160_149,1,0
3045160_155,1,0
3045160_158,1,0
3045160_165,1,0
3045160_169,1,0
3045160_171,1,0
3045160_173,1,0
3045160_178,1,0
3045160_182,1,0
3045160_184,1,0
3045160_185,1,0
3045160_194,1,0
3045160_197,1,0
3045160_201,1,0
3045160_209,1,0
3045160_216,1,0
3045160_219,1,0
3045160_224,1,0
3045160_236,1,0
3045160_23,1,0
3045160_271,1,0
3045160_276,1,0
3045160_291,1,0
3045160_295,1,0
3045160_297,1,0
3045160_313,1,0
3045160_317,1,0
3045160_323,1,0
3045160_324,1,0
3045160_329,1,0
3045160_331,1,0
3045160_334,1,0
3045160_341,1,0
3045160_342,1,0
3045160_345,1,0
3045160_359,1,0
3045160_397,1,0
3045160_401,1,0
3045160_402,1,0
3045160_406,1,0
3045160_413,1,0
3045160_418,1,0
3045160_421,1,0
3045160_426,1,0
3045160_433,1,0
3045160_438,1,0
3045160_443,1,0
3045160_448,1,0
3045160_449,1,0
3045160_44,1,0
3045160_455,1,0
3045160_456,1,0
3045160_457,1,0
3045160_459,1,0
3045160_463,1,0
3045160_464,1,0
3045160_467,1,0
3045160_472,1,0
3045160_479,1,0
3045160_492,1,0
3045160_504,1,0
3045160_505,1,0
3045160_506,1,0
3045160_55,1,0
3045160_8,1,0
3060460_3,1,0
334771_27,1,0
399549_24,1,0
415426_13,1,0
41673_4,1,0
41675_7,1,0
43080_45,1,0
43080_47,1,0
43687_3,1,0
437136_3,1,0
437136_8,1,0
47304_5,1,0
476105_7,1,0
51678_3,1,0
51678_5,1,0
517606_16,1,0
517606_17,1,0
517606_18,1,0
523848_4,1,0
54254_3,1,0
54254_4,1,0
54256_3,1,0
555311_12,1,0
56636_3,1,0
619593_4,1,0
619593_7,1,0
671065_12,1,0
683846_13,1,0
69656_6,1,0
69656_7,1,0
698757_19,1,0
886738_12,1,0
940295_6,1,0
94694_5,1,0
